CAT,Day_of_month,Month_of_year,Day_Segment,Longitude,Latitude,Year,Count
IMPAIRED,1,6,1,-122.423,37.765,1,1
IMPAIRED,1,6,1,-122.416,37.783,1,1
IMPAIRED,1,6,2,-122.476,37.729,1,1
IMPAIRED,1,6,2,-122.417,37.779,2,2
IMPAIRED,1,6,2,-122.407,37.756,2,2
IMPAIRED,1,7,1,-122.474,37.743,1,1
IMPAIRED,1,7,1,-122.413,37.781,1,1
IMPAIRED,1,7,2,-122.404,37.796,1,1
IMPAIRED,1,8,0,-122.418,37.761,1,1
IMPAIRED,1,8,1,-122.475,37.721,1,1
IMPAIRED,1,8,1,-122.433,37.713,2,2
IMPAIRED,1,8,1,-122.419,37.762,1,1
IMPAIRED,1,8,1,-122.418,37.78,1,1
IMPAIRED,1,8,1,-122.416,37.782,3,3
IMPAIRED,1,8,1,-122.416,37.784,1,1
IMPAIRED,1,8,1,-122.414,37.78,2,2
IMPAIRED,1,8,1,-122.413,37.775,2,2
IMPAIRED,1,8,2,-122.41,37.773,2,2
IMPAIRED,1,9,0,-122.427,37.769,1,1
IMPAIRED,1,9,0,-122.406,37.792,1,1
IMPAIRED,1,9,0,-122.405,37.786,1,1
IMPAIRED,1,9,1,-122.411,37.782,1,1
IMPAIRED,1,9,2,-122.441,37.716,1,1
IMPAIRED,1,9,2,-122.419,37.751,1,1
IMPAIRED,1,9,2,-122.416,37.748,1,1
IMPAIRED,1,9,2,-122.415,37.784,1,1
IMPAIRED,1,10,0,-122.414,37.784,1,1
IMPAIRED,1,10,0,-122.412,37.781,1,1
IMPAIRED,1,10,0,-122.407,37.781,1,1
IMPAIRED,1,10,1,-122.46,37.718,1,1
IMPAIRED,1,10,1,-122.415,37.797,2,2
IMPAIRED,1,10,1,-122.408,37.765,1,1
IMPAIRED,1,10,1,-122.408,37.781,2,2
IMPAIRED,1,10,1,-122.395,37.725,2,2
IMPAIRED,1,10,2,-122.426,37.761,1,1
IMPAIRED,1,10,2,-122.416,37.782,2,2
IMPAIRED,1,10,2,-122.41,37.766,1,1
IMPAIRED,1,10,2,-122.403,37.753,1,1
IMPAIRED,1,11,0,-122.429,37.749,2,2
IMPAIRED,1,11,0,-122.424,37.765,1,1
IMPAIRED,1,11,0,-122.419,37.784,1,1
IMPAIRED,1,11,0,-122.413,37.78,1,1
IMPAIRED,1,11,0,-122.412,37.782,1,1
IMPAIRED,1,11,1,-122.414,37.742,1,1
IMPAIRED,1,11,2,-122.42,37.765,2,2
IMPAIRED,1,11,2,-122.414,37.765,2,2
IMPAIRED,1,11,2,-122.412,37.781,1,1
IMPAIRED,1,12,0,-122.465,37.726,1,1
IMPAIRED,1,12,0,-122.416,37.782,2,2
IMPAIRED,1,12,0,-122.406,37.79,1,1
IMPAIRED,1,12,1,-122.434,37.726,1,1
